,type,ethyl,methonal,glycerol,propanol,coumarin,citric_acid,acetaldehyde,isoamyl_alcohol,impurities,add_ingredient0,add_ingredient1,add_ingredient2,add_ingredient3,add_ingredient4,add_ingredient5,add_ingredient6,add_ingredient7,add_ingredient8,add_ingredient9,add_ingredient10,add_ingredient11,add_ingredient12,add_ingredient13,add_ingredient14,add_ingredient15,add_ingredient16,add_ingredient17,add_ingredient18,add_ingredient19,add_ingredient20,add_ingredient21,add_ingredient22,add_ingredient23,add_ingredient24,add_ingredient25,add_ingredient26,add_ingredient27,add_ingredient28,add_ingredient29,add_ingredient30,add_ingredient31,add_ingredient32,add_ingredient33,add_ingredient34,add_ingredient35,add_ingredient36,add_ingredient37,add_ingredient38,add_ingredient39,add_ingredient40,add_ingredient41,add_ingredient42,add_ingredient43,add_ingredient44,add_ingredient45,add_ingredient46,add_ingredient47,add_ingredient48,add_ingredient49,add_ingredient50,add_ingredient51,add_ingredient52,add_ingredient53,add_ingredient54,add_ingredient55,add_ingredient56,add_ingredient57,add_ingredient58,add_ingredient59,add_ingredient60,add_ingredient61,add_ingredient62,add_ingredient63,add_ingredient64,add_ingredient65,add_ingredient66,add_ingredient67,add_ingredient68,add_ingredient69,add_ingredient70,add_ingredient71,add_ingredient72,add_ingredient73,add_ingredient74,add_ingredient75,add_ingredient76,add_ingredient77,add_ingredient78,add_ingredient79,add_ingredient80,add_ingredient81,add_ingredient82,add_ingredient83,add_ingredient84,add_ingredient85,add_ingredient86,add_ingredient87,add_ingredient88,add_ingredient89
0,gin,3.98051033371145,6.959279055163581,8.863664946492417,5.1017342600702404,2.346949935437042,5.628343964763194,7.831660881202645,6.9992042632785845,2.8432536856198474,0.9131825454214848,7.558770088521506,8.23386525209036,4.560638437653058,1.3711304238899333,6.384856854981501,8.124010981378726,3.522702763208245,5.964325908630132,0.3268241964114187,7.167969063417587,6.8177940426032375,2.171621973081327,6.414658873179144,6.875655973658385,7.454878731817186,1.7137680784498643,9.712971913024012,3.7967692322169913,9.093121108967063,3.016313791404467,9.359928628500187,10.29194872985392,4.05937694601873,6.389297695363226,4.326055223574281,2.4714168180203724,8.581984983321659,8.919185516881235,1.326852206686788,9.043668624600354,6.158406138782193,6.050538219397347,5.6602272624340575,7.008739608877496,4.4284210641036665,5.751598724554283,2.6501026177292415,2.006024985537832,4.374814939869795,1.268226795494365,1.3077243047392617,2.7274189220681544,1.586351837467581,1.053351153826017,7.948102452796845,3.680599842698224,1.994763634099113,3.0042066324642893,5.756919307928406,2.3420313067545226,7.924112053148095,0.9272189960186746,9.631453080626411,3.4027659531252468,8.634494555601822,4.442797960826605,6.612440723263624,1.601612322219155,9.793652380470542,1.9783520307583802,9.317710805032622,10.203808617167736,9.103596128222513,4.7584250942624005,3.9817779390237975,1.4290919151504848,6.453857949924036,6.328669555767134,6.561961469546414,7.436524596162079,3.0045874554878798,4.244949214041285,8.221672582013467,5.751148026330602,6.270928987185885,1.9934527559261768,8.47062137382934,4.39948009298177,7.752794454180918,4.951560741334394,8.520556346961909,8.252516715797077,8.23931237333492,8.556678627353541,3.600435800035865,10.20737231217497,4.053882311856759,4.5000181907469905,4.049256588250174
1,whiskey,9.234983563805232,4.636791823035921,5.136863205948286,4.578138741356881,7.07774504866006,8.261171664619201,1.6261700856816603,2.7733253175472945,8.85953867681527,4.043079250449363,9.254566801768876,7.79866428194598,10.934744659419664,5.448040240781591,1.608225770464267,6.1236764367478465,3.521009819749778,6.146075660138739,3.1199514551112664,0.9752208313399682,8.239927830231702,7.293878683574595,7.269969590024335,9.771113765186106,3.9749082541684224,3.6899791974474176,0.5637511642637927,10.755798712770444,8.060214231514417,0.9664560637382974,7.701029262438909,1.4109010320990492,3.404733939647036,5.256947553228462,1.1158447307259916,4.9450902671071635,7.17515226395714,6.217079553861164,8.115466209930005,2.305422995440086,0.8524788180251178,7.693043593311533,5.609328676840831,6.162724422936393,3.725545590031762,3.622841288336371,2.6853516996838698,8.895980104789228,6.1048359615906,4.343718483014536,3.7223400645169753,-0.5155431077363164,5.07466930176354,1.92351908472989,8.89943608419248,0.6842523021827746,3.025699114281405,4.352078042193383,9.390181302978275,6.6658666856192585,1.260819652697414,7.949982868309891,1.697741908861618,9.472617434933063,0.5710434553480255,2.672578722775885,7.153652040635982,10.067884042385563,4.477964022279228,9.973094354275716,8.336149070521657,2.8377124229012636,4.31456505355115,3.6355075879073713,2.8817354789455454,5.018707030198503,10.12506179198467,7.290294227860553,9.182422544661977,9.250350436379078,6.607187736339192,3.570006488425566,3.4499212265523767,8.205235497336618,9.00190092685579,6.146527897660652,6.390112431373209,2.5518306296389555,4.119867025220223,5.1317240185098,7.768864069176667,0.5220600651877512,5.441036689659483,10.780560438965598,1.7188853327500924,3.8049754770089765,2.6500259365729972,0.380056746878753,6.060231537106658
2,gin,4.445666403587495,4.843237139640376,8.917472428667866,5.237932538991476,3.6153833086062415,7.712940809075189,7.800810909584332,5.927390626343159,3.371816609130514,2.3389959291349105,5.782976967149883,6.976194753216006,5.119740613688318,3.2609024062668275,9.085290223108686,8.221231492414374,5.638587000266659,6.45364399302515,3.6774875829237024,9.154831662664776,6.940013946446343,2.0372192576613055,7.3429239429703586,5.342444996763535,5.7305571851287915,1.49911678538989,9.281201112381517,4.457657044835477,8.854922848683856,2.8385163241751874,7.849446001544767,8.833870357455394,4.808456215322622,5.686174858311342,3.9823798118621463,5.011310238694108,10.326589057230882,9.294427836940292,1.6339615608922586,10.397705676591148,7.12432547200954,5.930674584263877,5.859561638517963,5.183656246112096,6.523472069713703,7.956773063851946,5.252133307704844,3.685696996594901,1.6194495564066338,2.1481721674427376,1.0280305341194795,2.9898218176591933,2.035458454403717,0.33800082827243527,9.21104723430312,5.904901029940009,2.3233269279040423,2.31250819867828,3.697027237044008,5.344666661430634,6.849778733385671,1.4952780479353063,10.537509196478384,3.283022782635847,7.049535017745418,4.223202147614349,7.740015622300862,0.3468893323575172,8.373202432950475,2.733398291401656,10.082403017294464,9.775569036609102,8.535076822567682,2.3406530540670443,4.269098274472432,2.177736222656963,5.315768769854759,4.961762719656921,6.135087364406685,10.038748139094865,5.018066579815018,3.646830916815052,10.744369396465082,4.630262956943468,2.733993483604393,1.5350322528630094,10.596300685662131,5.2859373394233895,6.402823243332056,7.510383985590217,9.259874158881063,11.164832418688043,9.89219729508319,9.69205137299805,2.1407522771036795,6.816857663356643,6.6701948614298825,6.3795308999138,3.8543162482728888
3,gin,4.772577113268293,4.635303137603326,6.687376154784149,6.994319477409093,3.3549709858641146,6.292305696066857,10.29883961942418,6.474667606013821,1.1176724866661734,2.1605582026380565,8.657631283592103,7.033443478397315,3.8096803484789836,2.322738549926196,8.855564815040893,7.269673574891799,4.959243815547983,7.0228162498027284,2.026119717358172,8.023918603549324,6.558317939676687,2.753360237070749,5.360326664514314,6.012258831430847,7.676644880446304,1.0151621691149637,12.347182545915956,4.165834820112854,9.624592088531696,4.027114080367586,7.586683361648356,9.971245619209691,4.522718002009761,5.508684316357146,1.635783367674675,5.365700907731246,8.239526448776997,8.08601879047265,2.626865829310754,9.200356980931772,9.073498003331075,5.134885251593615,5.249135030130476,5.346610189406079,4.604748723695798,7.31305825743581,3.9412071748384263,3.0922807704591246,3.099933367064352,2.204824734739714,0.333453539306655,0.20343964531132253,3.847153390747817,2.6775576930592164,8.83467719283703,3.8452486769846614,1.1772198328614425,3.6974306311172773,4.371276273084533,3.7214435952657032,7.197522627190326,2.2296928219381433,8.789165651438212,2.143970729701811,10.298930223170858,4.141044925103957,6.535104200498213,1.5517938143323506,9.050218882850901,3.7126058153899937,9.348694421538793,8.683440691700063,7.287875698382653,4.77355227914212,4.908502302060858,3.423875102155995,8.653001493643483,4.077983062002723,4.794124199598947,9.969147340528332,2.952108856629196,5.512358512556677,9.123834641928301,4.29482553468034,1.2777772550192674,3.0308130829629585,8.65047225044826,3.641584926073349,5.6063004098699665,6.309081658858765,8.897921924401125,11.084963019783077,6.726621613054908,8.993681618413554,4.458709466462246,8.915873899836846,6.934097178132186,6.36962155822496,2.5377003956294635
4,rum,7.893323970525041,2.4737322396371817,7.933859628375242,0.5085368980799589,2.5433480169609033,7.894473084403972,3.991998968368165,2.467210757206465,4.59717273511341,5.292662366129303,5.512475729090588,3.521008545214934,2.4660506595975114,5.112313558640354,8.63984080972242,5.41514074135394,8.91376534389557,7.945178630275258,8.578100906813836,7.568057882992423,6.557315708538023,9.696085055050634,9.40499770371324,5.157721471158456,4.853422013829799,2.551511214602703,1.7057632442343478,3.4818819001835273,5.51679869804824,7.530793597215147,4.420075734803709,5.846077285327042,1.8746064006599517,9.976051161673018,5.759147767198453,3.946363131765292,5.451085915575996,6.350402352907392,6.291330508158235,3.169483034542923,4.6370230767684095,2.7800949491094795,9.752184726789801,6.384798160501307,5.792538865997634,3.5124951452700337,1.876930732279626,2.7426531041290594,2.3774370823502373,7.126514634421554,2.398060504649327,9.116354446348556,5.863971181907322,6.548757161548545,3.35676932283236,8.10749012537728,2.086410567423547,9.947600746749416,6.7089526532441965,2.8796098555697203,4.013354598515193,7.640931259298834,7.983410150849118,5.044459800183049,4.90418713228702,2.8117482976232866,7.6190589403203095,6.989598159217586,6.758983031963529,6.884772214379789,10.401053754377413,3.2081883873837427,1.2523164063219214,3.217777977630835,7.249156156881118,6.337775076088977,7.2819789954743595,2.1596589849259455,4.7111023420354945,7.363492481114519,8.074707139749378,5.5486627369476595,6.899486140140923,5.401329425644571,2.913045550263672,4.305691925494607,3.6050178879231796,9.549211985264117,2.9843760533311205,10.37603276158996,5.805430014061812,8.285412844978442,9.713307316105714,4.238308225984646,8.002679327278155,9.159026948336784,5.2570617440323915,2.7218978672507967,4.743898077103399
5,vodka,0.6536008078269109,2.06224785781785,7.595540438027982,2.8765929815735793,7.970483411216449,0.764462090651469,3.6320312341473864,4.732448862614355,1.1540789275094483,8.215789576383742,9.068292407463296,6.197969046848315,0.8900197972749977,8.795443688970721,1.6421267036234939,1.252204864375157,4.5735354290031935,5.375863294045005,3.121760542181958,5.769193985956889,5.907474862749212,5.681837010705689,5.089119345050111,0.0999135830091844,4.449406187747415,4.958317536408269,2.431377955025177,0.8450303542634339,10.29510233488141,2.7036489104480994,9.295636881537348,1.2677275660919327,6.700518269756195,7.00734403532469,6.157824244502807,0.07475947849355702,7.072683821646751,7.789487659975449,3.483535434362285,3.6677406783157367,4.018404321022696,5.902437587090451,8.387905122873777,7.948566327578192,5.780658478851666,6.942422762364778,4.4917647182266185,4.577175300122487,8.086252524572876,3.8804647373812173,1.219936038498952,8.769955117132813,3.6092479287754182,3.812535081808013,6.142012254904705,4.279067813586668,5.484136170764789,2.688885015635881,3.5594865583428956,10.70428834267493,4.505429554443055,5.341826203253749,6.245786548427717,6.756514657520859,7.976258585534128,7.138419243523766,5.460749717995688,5.401894412740971,7.1514241527326,2.562406962295302,7.924461469336736,3.8767102094664114,2.940157004380088,5.893413060383415,5.9986704209822115,6.304859567608863,3.02978483590622,4.028882150410869,8.219788503960523,8.025530705663776,8.27309898051638,3.4557769230082878,6.280888062174613,4.736822446174676,1.3177438787349196,7.103786595447645,8.55946671649006,7.442375808893194,7.065990193845904,2.203812817770823,3.302089629287642,6.2468705499396044,3.591529713441296,6.588100384543584,4.10244485768954,7.357100847266937,9.16131196984252,6.358256375366718,6.4726341172022295
6,brandy,8.037132356993897,6.687370550021596,5.351112987581827,3.709479693094651,6.1304875277619,6.106895323787206,2.892635245405808,5.165454833069592,0.2473884041162564,11.27992389691635,9.711514314296892,9.290301831353764,4.913587955061348,4.395436623007713,4.441125117721647,5.744540905775477,4.732660054120383,6.024012944002564,1.7379752891059876,7.528719028324206,5.572464561383557,2.393239521815288,3.644951923015692,5.034919474090833,4.70801063213487,3.43892790128565,10.71291813579096,5.1488278728143,3.3307002553345297,2.6128386782673547,8.871201434566661,7.176681081804756,1.6949636517347832,4.152960835153998,6.781463171804872,1.1169711763312917,8.414001316823812,6.076879171011242,7.82177337609666,4.328344219492002,5.163203174164343,6.3725657917855845,4.299278345142517,7.772569839258228,0.915674757770893,1.3629669225258176,4.673802023427715,8.307291174072798,4.799969042243726,5.644647033796253,5.548928631236728,8.289219766138242,3.3154179460235675,3.491383823722863,2.6043771515087712,7.8672206422238355,5.650359429643855,9.972537046597175,10.11116093080065,10.229822208302963,8.892042166477765,7.074236619145999,1.1972345012302528,3.7045875165682496,7.208124905081663,3.0129740832115357,6.905251772432827,7.713729702332201,11.756957037478623,9.302174011641528,0.019491437459380867,0.41611207463714883,9.63392953498536,0.4364615124106517,3.3694588807723034,2.385868372446705,6.658165844499217,6.095080363316178,8.409376166319595,7.3395106828248,3.532549062266134,6.9837788055550805,7.903014747015041,6.662231726278533,8.640982612708504,2.5292177311836577,6.06109863832155,4.192305214433276,6.5610785648898435,3.6713272583790144,7.470273308971473,3.810404511057707,3.8805010105753888,0.8638174977712852,7.5381815132622965,2.4098458491460155,6.2823413846242415,4.656103930456096,1.9203055692728457
7,vodka,0.913247778341409,1.1507419901463591,7.335063837113843,3.239011520166599,8.044183606289112,2.493872941696165,3.0432147887497534,5.520514085851085,1.47093331916452,8.736901252242811,9.768671852462724,5.550250498546598,-0.11920855096643668,7.909813652706212,3.021804443458107,3.95089024967581,6.970298186637706,3.1919565486124934,3.984633670480254,3.1945101568930445,5.406225543115456,7.566325122597896,2.3391682008952364,4.171758106470355,3.7092307001782228,6.374602939406885,2.51739257926109,1.0916960300791958,7.549793597931164,4.575317754607092,6.982476413620747,1.618476652135412,4.674279830759527,5.524636004192148,7.762077254500318,1.5269188741832445,8.673252200456792,8.329942449107087,4.384093185697521,3.7560116088572886,5.503774165510208,4.337561947987243,6.731350392294571,6.878364940405617,5.7500376809144935,8.062708068068932,4.946220529919509,5.308855973307507,8.178249444717329,1.4565747277208476,1.6461524454845948,10.245649537605768,3.5538685532498238,5.746869595382412,5.36425945568401,4.477551058729061,4.508463918519751,5.331415136183558,1.8638861615745927,9.629980901120767,4.084738676314089,5.251187449887056,6.577509363492998,7.992015420472741,7.560970284359164,6.76798625249187,9.089422436476202,4.405013632866723,7.089225149820272,2.8461127507362667,8.074369653768688,4.142923990423128,0.05756229553128245,7.627974655121639,6.170968982220708,5.371601734719073,1.0755024245124385,4.432670109766364,6.443577121054351,4.594506368961203,6.8598691939192085,3.5822781192220488,7.367602138174836,3.8192062297183087,2.252390438373768,7.964954527235952,6.802584050533705,6.016776637330627,4.66624436069478,2.5394783572852666,3.7371996529536657,5.37406240920337,5.817570700387452,6.07801995781443,6.254470154821247,4.589779915342735,9.720549894112086,7.455362548174428,7.090269022244771
8,rum,7.225844453506868,2.3048392326960885,8.070219022711372,3.3695026638655152,2.661201702581882,8.203161065571932,4.690084833453582,2.2254629113613387,6.463445456063573,5.925000425759159,7.021473954711794,4.530044613577041,2.196429481581216,7.639882727525012,9.017238501458321,5.560534333800202,8.774503998030607,7.2826331403564675,8.0770771646875,5.719774863341517,6.665215990817053,8.991534902182188,9.067962789953636,6.525796922465761,6.299992771587233,2.8767739122014233,2.805241602191255,3.728890370919494,7.527205587172231,7.580340417961607,5.677314039492554,6.107040905466067,2.5969795313037376,9.469811778887534,5.552536263718936,5.296520146761441,4.614428434065249,6.072289615616109,7.941891001135669,1.0362107751632206,2.279019045484795,1.8455834795871153,8.41456953031863,5.96882306288765,5.771757915057956,4.059785812005051,3.0505469144926023,2.764221616034433,3.6377206724955293,6.7169966607898575,3.1327759443064753,9.900059144421416,4.093276970928563,6.267290367333792,2.3124764560886333,6.692971712940473,4.732417503654444,10.204584376694967,7.661511820264788,3.4586491133087325,6.170023677699597,5.823078301010486,7.597573245113017,4.797202272033014,2.808783940923498,2.490828379378878,7.747213246594156,5.50019475561861,5.461502426224235,3.5379134466289957,9.294575449680956,2.4636080690600215,3.778663923139841,3.7085891087866427,7.814027356596956,5.140084792090144,8.99689250071829,4.967562219995592,3.7892938026851075,7.765693028714959,7.931381268260866,5.907934943985342,4.479821107733363,3.968688164092516,2.7320963181173163,5.42112956195511,2.111461370313825,10.304185983861098,3.023632304091187,8.898641546125726,7.684870828019003,7.437700690425398,9.718976529017658,2.6348944721425873,8.310890852563027,9.875969252123785,5.363347627899889,4.06602086807179,4.613104114025992
9,vodka,1.6142111605987033,2.1043979205854186,7.102509072820877,4.7549518277976865,8.621154255857366,1.8712155662667649,3.170901266114449,6.951545354907877,1.6693748450082722,7.570520940515499,10.005182330415199,5.042649608410509,3.181918938108284,9.329262496146391,3.3964663239761466,1.7465115225711345,5.814671225546243,5.915864298616279,4.276841166302958,5.611334542780774,5.13166862468394,8.384798192435158,4.0949360065701965,0.2916235532155964,5.2964212955632926,6.677733767719474,2.6800636339564505,0.8172958728078437,7.047540889773248,4.533752376531119,8.406723306854648,0.6473787839815153,7.634781586494273,7.2699035469904505,6.557675168124062,1.1857095216945701,8.11905982817941,8.775556578754149,4.961742345471484,7.657974780069026,3.5609226122390436,4.576403567837571,8.419430310691235,6.9833421007406296,7.346369385719404,7.003496155962008,4.9455503230550395,4.866772872991827,8.168577017052442,2.787305052632869,1.463956593881654,7.846151168541626,2.5848504675706296,4.941752974897328,6.509206548787359,2.48158710919731,4.2959843255553976,4.4465210287427,5.246951949709949,9.31883213816092,3.129890077502336,5.618699255876409,7.223592668397555,6.544497097165551,8.248899618132397,5.007866449771925,6.900450848690452,4.343690935896012,6.359663997731547,2.479314233485715,8.02560155338635,2.570446011405915,1.9001764234292993,7.428186507785304,4.253941561342195,7.985617741609678,2.0571541874331345,2.977351812292484,5.446533572033551,6.105493044895112,8.083415925597818,5.359857920472933,6.324349810728496,4.719930582414937,3.2047478388212145,4.737037060342956,6.252459338583768,6.689090304835185,6.296827857432277,0.23481996536545635,2.1047112927511544,5.620418733767012,3.3605408173435407,8.113286124478213,6.379494935695009,5.749591035903869,9.851308292490245,7.243777976942602,8.649241649363375
