,type,ethyl,methonal,glycerol,propanol,coumarin,citric_acid,acetaldehyde,isoamyl_alcohol,impurities,add_ingredient0,add_ingredient1,add_ingredient2,add_ingredient3,add_ingredient4,add_ingredient5,add_ingredient6,add_ingredient7,add_ingredient8,add_ingredient9,add_ingredient10,add_ingredient11,add_ingredient12,add_ingredient13,add_ingredient14,add_ingredient15,add_ingredient16,add_ingredient17,add_ingredient18,add_ingredient19,add_ingredient20,add_ingredient21,add_ingredient22,add_ingredient23,add_ingredient24,add_ingredient25,add_ingredient26,add_ingredient27,add_ingredient28,add_ingredient29,add_ingredient30,add_ingredient31,add_ingredient32,add_ingredient33,add_ingredient34,add_ingredient35,add_ingredient36,add_ingredient37,add_ingredient38,add_ingredient39,add_ingredient40,add_ingredient41,add_ingredient42,add_ingredient43,add_ingredient44,add_ingredient45,add_ingredient46,add_ingredient47,add_ingredient48,add_ingredient49,add_ingredient50,add_ingredient51,add_ingredient52,add_ingredient53,add_ingredient54,add_ingredient55,add_ingredient56,add_ingredient57,add_ingredient58,add_ingredient59,add_ingredient60,add_ingredient61,add_ingredient62,add_ingredient63,add_ingredient64,add_ingredient65,add_ingredient66,add_ingredient67,add_ingredient68,add_ingredient69,add_ingredient70,add_ingredient71,add_ingredient72,add_ingredient73,add_ingredient74,add_ingredient75,add_ingredient76,add_ingredient77,add_ingredient78,add_ingredient79,add_ingredient80,add_ingredient81,add_ingredient82,add_ingredient83,add_ingredient84,add_ingredient85,add_ingredient86,add_ingredient87,add_ingredient88,add_ingredient89
0,rum,7.467887059639514,3.5627336686500257,4.2322990043965385,3.943209184591375,2.451062277087488,5.445468323596007,4.3919178825610565,3.7161837375082616,7.587640964648695,2.272627632935788,1.6814384223083823,6.0898200553408,4.840538222393848,5.517735167147071,7.267081405838617,6.3096394949114005,8.715357175259447,7.548239218527949,6.445017109104274,6.464168825353212,10.209881181465436,3.757786701423735,9.007208134783902,9.644467538627794,1.2882861368272822,8.25319408471587,6.441685355283505,5.433045215891638,1.5082823144874837,1.5637562083488576,7.365451255774296,4.391921415501406,8.564655980394846,1.7232540710000839,3.4850580196502703,4.232774024974379,4.792284760642483,6.0680859981478585,4.269397011665815,1.2439071502199557,3.448984695446308,3.8955230018744613,9.491984721471699,3.1177744527404845,6.732187241211882,5.028600833234551,7.405908502802982,9.42495413483204,1.1283961182213025,4.611321896101543,8.320885297245505,3.125000281334613,8.379802072807863,8.545404044486288,1.6526186528244498,5.407942479342809,7.105782157643712,2.3206688234209327,4.159334497795171,2.0680223566633593,8.379376181037506,6.527895767268182,6.416645241504797,8.631168415707922,1.2709633217635359,4.129940259810999,1.454713865784297,3.5711035619412654,2.0972813483379293,8.567423667022837,0.8601300259574236,3.4021532077239294,10.028193005852442,6.873314751045287,9.402645259620728,6.177841929833777,9.083009821081824,6.8390462624034445,7.968658291484887,5.03026014681676,9.321250039236967,9.239867774323342,9.055201465036435,9.766692074017865,9.717419970654367,3.814111492114511,7.7142826919211,1.9513256418943177,1.6556923190251638,6.805379654836473,8.811349720370318,3.2292951986953087,9.259005724872432,5.5031906201266745,9.157501813958477,5.6301680643574095,8.845912747054971,6.733762282167048,5.55055082623755
1,vodka,1.2313582719517173,6.4288426809469925,4.945032442313613,8.952495955474765,7.466015816674938,5.403268330044739,4.368391554327587,3.513768108464627,5.651697150121137,5.428870155114526,10.03334513294784,5.776614964463415,4.513156290916302,7.880918632727734,5.369266806780182,7.750869891774602,10.201094749681182,4.8944312850823,3.8141767873882766,6.2680048544154365,6.146037428713723,6.360193039762009,5.9574279071718,7.202847267846209,5.2656052551304695,4.7659241628178926,7.43037067405253,1.8879097578913782,5.564424997494557,5.585750715507675,3.6742674985647836,2.26006021833152,7.582617922803411,2.3812998384310125,2.076603628764346,7.2729968774944815,4.940796042240213,8.07592432724392,7.269596465755138,3.34715875934093,5.53111828311072,6.599868142991742,10.04852951404851,8.720156491423982,4.7598620498054975,3.253472037434359,6.040971743582374,4.140741161896423,3.273521218712133,6.926324651683666,2.2287339713394907,3.4557991491579565,6.829841715182234,2.9529098645678498,8.453050031660975,4.839993145895957,7.918431381103389,3.1882362520050824,6.327461735487229,4.475240173797211,3.0621159644915252,2.204683709560719,5.603415765720798,3.76602080323711,2.4781029992080934,10.759460503943583,3.566791427227925,5.550691637255067,5.1803002777821066,6.338051624893197,3.092009182707927,1.633211638998336,1.2220307148359941,5.386953611202829,6.083332864816163,3.1997718489095144,9.88176502414276,9.877489926443253,1.652166155409308,3.141880955088354,5.489931309847046,8.736472020742397,1.4666226021902993,4.542311037535207,5.51718546496728,7.992702899453824,9.275636299610435,4.433096976130362,3.11136111448088,5.480351588843913,5.325043720091142,8.68690768199609,6.138332750397866,4.374579153614615,0.6763318497054948,8.53314280915568,9.121662913424675,10.130949870002826,8.16404028140869
2,brandy,7.894394716817655,1.367227581078689,9.454429694221153,4.135161662244103,6.4169741446294495,4.01352135272497,4.730465466669059,7.094584446409262,5.912499702961863,4.295368920873772,5.151010142163535,7.724206816417228,7.008508526905068,6.743804173099396,5.393536229055355,9.96291823826073,7.9172280670678,9.122127922124116,8.032490210224612,4.457347209391162,4.328305819338159,7.012646451141592,7.170554022330377,7.514715816749634,10.432376309498283,6.91360680843928,9.467296973526638,7.828867510503838,6.70065715189875,1.7620484390947604,8.84822253533721,4.803440854808585,5.363654649777635,5.574722436325826,4.245644812255847,3.057615549354137,8.986620247575743,6.116700142285723,3.994994983664049,2.8444167464566217,9.052858226288897,9.075863096482118,6.998176886783212,8.798810111731722,8.463921506101899,8.06340787276118,9.216852226554831,5.649284868833378,8.786366732214265,4.364926409092767,6.514478154587142,7.6893715865561045,4.487805865052315,7.420945259648395,3.034111974452247,7.8798764452140455,2.4088976987071673,3.9313865133317174,5.8269320720656586,6.3358593265992,2.92711212998045,6.905627552221548,7.609867729991382,6.995660717433128,2.053952764790168,1.6149028373326513,2.1516539830478925,7.404633582696314,6.338975051221777,4.003496967330618,3.568809284924683,7.072432145965381,5.819973995231526,1.1471863495027925,7.530960838061047,9.771145075357792,2.326372622420274,9.421981458878099,9.14110693296142,7.4836587619783055,5.976322158841678,6.295512265898936,6.435275164978041,4.2690186913078385,8.366805465719112,2.444108597812714,8.375166902871682,1.9210374378382833,9.547109009973255,2.7311037214572766,7.105160005844586,9.612448254868243,2.3932617704808288,9.47593356520408,4.489286535632212,4.139922007901209,1.4234005321696885,9.321929330683833,2.699107536765702
3,gin,2.027923928398279,5.561834942242963,7.966180352380166,1.960645614759702,7.80149928194394,8.424613671145503,2.4966217771558004,7.20886198332912,8.394270025874082,4.78243069137855,2.5595358213224872,1.6888132341276982,2.385257665392579,4.066069599285628,4.993109993722437,1.7630901629645397,6.2585822823483355,1.6774843987035115,9.363916273306497,8.607099291453094,5.839372611228059,10.465475711659916,6.245670119632777,9.009511604563896,8.92071308611536,3.4684674220115377,3.162592723573206,5.376674982940516,10.041285150130411,2.731842700583701,5.551359923417081,5.485918674221858,3.6521828343013913,7.995204178652193,0.7850183933965149,9.816795828477959,0.41288869418463614,8.296523369198905,3.3667827554949543,5.225906466997376,2.0312344510993228,4.0892995509815,9.168462849616008,2.2067711581088014,9.277504261754919,2.7437165339167118,10.102172959560635,6.793407760971828,3.106900020464433,3.18022994161955,4.085715335849038,9.41094368153797,4.876336253678584,1.1811740321757596,6.7426834804429605,3.646611916702664,8.007740868370472,4.782879240837215,8.885253559544905,1.79663538799244,7.718343133882107,8.410651020415537,5.027152867481583,1.4811765579435563,4.788136029194234,7.578876541610021,6.92669819044229,2.910216358460934,7.311869457090531,9.642625032159895,5.6334050469395205,0.7454595358284563,1.3136480624587181,7.782595633049847,7.399992200553713,6.856484442560594,3.5546138635242115,3.752708953592922,3.6185952742606142,8.202246445226228,5.97503001210529,5.395436124441064,1.5686092009784938,3.8685762502598546,3.0980324723665795,4.47678130402024,8.23722642468499,7.795837736619216,7.114424331413805,4.788967330984741,7.80550703055735,6.748743748038546,7.190038710164552,4.461082518510427,2.1671769579904234,6.27363519361467,5.724395330896674,9.888855244440206,5.03574597400857
4,vodka,1.2214426193215626,6.2093524928919175,4.81305503761345,9.017511972537708,8.258641127880805,6.8512780765287555,3.6401445608271987,3.2739487357109196,5.389581176949232,4.299076316158326,9.432852220568574,5.296744026721715,5.013211858545721,8.375448778899745,6.224161269250312,8.708256323549445,9.468970679974053,5.7871078263820745,4.148875161213794,6.140317215258777,6.83636609613819,5.867786493078849,5.660791023304349,8.024020742880682,5.380765676175865,3.258557132850658,7.492191884247212,1.3865454967729867,6.023638602123916,4.957905559046101,4.210995041032159,3.3485697920672197,6.676625720672171,1.9194385611557045,2.11181158927366,7.296466878981977,4.0432711775513726,7.443453470738404,6.216028815235628,3.1979224997750517,5.695394681838017,6.569739214882289,8.667477702675502,9.337069382968119,6.382488414154836,3.4065859632730775,5.538845054653056,4.344239338092109,1.353523286700981,6.691842519100487,3.144387454260476,3.8304951805592413,6.742675610562983,4.617824290968878,7.936679066626251,4.603307625352559,8.188102634554484,3.0094460403159156,5.853634732873937,4.755035847476589,2.8410793656002196,2.902093826273389,5.035471238605775,4.07910851228413,2.5204389349416974,9.449922204054609,3.5935539192746564,5.448285381823508,4.909162080393493,5.544838752124237,4.959801765551862,0.427587447337332,1.4996572193937223,5.190420217627832,6.041113224391988,1.8432761863949068,9.649354051874393,9.814700879143682,2.167209018216665,4.371533295863622,6.141361001448702,9.88896201094553,1.9819273657488385,3.5469203635110054,5.93950558414544,7.502688728597633,9.616786264964835,4.3981550703825265,4.1723260831714475,5.244024259563016,5.230146644837508,9.498670736103517,6.512293736161449,3.202341930614391,1.9907080856131962,7.79959358446071,8.684795510726838,7.942544144147279,7.656208985676195
5,brandy,6.985363558911322,0.6049913384607585,9.554971077325819,4.266540052521334,6.85694577336507,4.434206727308424,4.305148203156158,7.409558727191697,5.999943775304555,3.9199441620259923,4.471694461515241,8.128590524816898,6.605305821961473,6.539367777662908,5.8787093792419896,9.845227304338042,7.639493821829149,9.687115743023035,7.744890371820588,3.7260345791401366,2.4512642166641845,8.67488466748487,8.94449694381288,8.837011032801115,10.255429873846522,7.5242349218307,9.444150163229372,7.60277667035405,5.389487109027531,1.5875176532042494,8.23909616259696,5.243662389074501,6.6072164456886116,6.568474393503139,3.738821642372075,2.4617982651983565,8.43124147941096,6.759023262026657,6.53627880854758,1.9246956715371355,8.50557414437276,8.850055506527971,8.2333455923545,9.658477242430632,8.379731617089819,7.23718954167018,9.08005045567536,4.829815060297112,8.189262828746108,4.926208687204765,6.1245091901572115,8.54033280970545,5.435137688931658,7.109221000701719,3.5125230719587037,7.998706839851207,2.0089971435251726,3.400024508983162,5.058840182540282,7.0847808236830865,2.6006779460788763,8.652325411946208,8.215107178886955,6.7024659226542616,1.888726860961333,3.0425550981047498,2.5695882981256988,6.780126253218335,6.76255671649982,5.950542311080568,4.1778188749327185,6.481848674651922,5.769484050966431,1.2552779401381744,7.695413987219239,9.40499491375303,2.1615903881168403,10.601854359195434,8.719705952573854,8.05869156846947,6.301043698085898,5.8920171476363015,5.544616647720922,4.3672136678531235,9.264731375324676,3.107953778465987,7.3000183957083085,2.2196700205127975,9.807670602983885,3.404478637459616,6.4651196929835635,9.56783899410421,1.8145485210652454,9.393540259404489,4.747531629799699,4.727255902280419,1.7590068647460109,9.737213037296126,3.3415984429867245
6,vodka,2.4650229355939928,6.704540632621391,5.436186331711731,8.723695975498504,7.627759196883984,6.007765552256579,4.4406831824469215,3.0301426644164904,6.254892465391426,4.441868667233691,10.045251846041877,6.3759419375474025,5.478337977904307,7.7996865036516185,5.903415104957601,8.556990624226188,10.485461775564742,5.838370179736197,3.2201079384904943,6.365016207044228,7.824238085181839,5.287687472192451,6.607974249828536,6.760487370204848,5.0476100343233306,3.191008146230568,7.5008481724276885,1.6413646852485226,5.867032956039299,4.608632546835022,3.664425864585703,2.0248778917108368,7.6241575773659,1.461948517390018,1.871820578570974,7.026930480165425,5.102573958921283,7.100582653522337,7.071242178336726,3.500902849676537,5.293333271084171,6.824754631587737,9.925574509520212,9.363714615200056,5.998695821428587,3.2508025405747043,5.642406833110698,3.079514089856125,1.5836691651822847,7.3588682937297,2.5923454017779513,3.204080243482593,6.127364301641149,4.4315253186670445,8.258775230694352,5.178511741044265,7.862507557186385,3.0635751039672616,6.812611821186135,5.2650273351468435,3.53331272605123,2.4132706463411435,4.707899236204716,5.72190833047758,1.3167055663799732,10.201859409417045,4.610833455035186,6.344220573526518,5.188749225795293,6.330614188392066,3.7377436011963887,1.3116962929094012,0.6003467940822022,4.386493698958457,6.4795813432638845,2.1558079484437895,9.533548191821613,10.232035288214123,2.636251409960405,3.7082090724842063,6.352588670934783,9.857861946521664,1.4697743374294558,4.521824690902587,5.866515812320207,8.211102264272968,10.107174386567243,4.153589827319797,3.1975222490661985,5.559028577185664,4.439579999497342,7.9062009396736554,6.190856194189714,3.9022215300739216,1.1518103210854227,7.781396127143499,9.20236402796087,9.352882959603178,8.159274575286746
7,brandy,6.940993135155107,1.1662642710818762,8.515854763703034,4.80212294916,6.326035735623826,4.55411962675538,4.157444706192335,7.30895015031342,6.364523122081839,3.909348783264592,3.943850964634432,7.260465637429551,6.491586130058031,7.330589336056995,5.133597052988561,9.674886524925778,7.575304160646588,9.478206510693722,7.792365389579812,3.9507846219964895,4.525269792925337,8.122571525052825,8.913678867130056,8.055554390323275,9.437145799249732,6.980496375087503,8.398592772299207,7.013192638581132,5.920289875052062,2.2258748154469727,8.555762493865059,4.314101622287436,4.922847735308805,7.078542884549584,3.84588597759646,1.9768002099043482,8.618493529271344,6.972821701587866,4.838175572464519,2.7399329126892162,8.661198757087936,9.328603522943277,8.327139935967264,9.164908134640582,8.248628559506463,6.764001630533523,9.42801958934037,5.5485304031945155,7.714419157924099,4.733674902127982,5.861090717253584,8.59522667709303,3.6995488011236066,6.382519751435672,3.617797546438702,8.600656125920036,2.2076962753190554,3.536530550779138,5.834983990500704,6.403103607901473,2.551859149071379,7.805093098735423,8.661180796144283,6.787079500411635,1.8092903837897534,2.10071914441025,1.914073551066957,6.287730613592721,5.639124250705037,4.4149236177540185,5.570655566475584,6.332201168207561,6.082223692620222,0.3707209637740022,7.539440779749711,9.337554808122334,1.8222134935057346,10.579825297848675,8.134378465680058,8.662594974194588,6.862949115711267,6.564654593488993,4.95089832384588,5.41751688989616,8.678133262134905,2.831459426864036,6.566607136598893,1.684101525311096,9.477658443860054,3.0588285002395588,6.442257732477504,9.467829538008479,1.8122570220329905,9.013400732055494,5.119059943402196,4.013861964961106,1.4330955753114134,9.68411920810755,3.3996147412359754
8,vodka,1.3568632161772178,6.900427098689633,5.422729336716647,9.070916204615523,7.069698898609629,5.343251289968869,4.058138989851796,2.9177906588590643,5.977388692724492,5.164897549164123,9.331931628847318,5.070356002651456,4.463814746534354,7.277232397999683,5.978096150754655,7.220674691524373,8.750612866639798,5.280792443147981,3.203789441762675,6.139134229969354,6.0378570370016424,5.766562356210752,5.988206323260239,6.779714023244723,5.166227675920561,4.668467952823145,8.605011691012745,0.6991180419105052,6.006284034274674,5.074200481600564,3.789389276862927,2.9156680132353223,7.298858131796874,2.576441851557604,1.3193625073164383,7.642288682368176,4.5554934693916325,8.269382124244594,6.517523655944377,2.831781214407636,5.436690480430162,5.451213305730584,10.652700456023991,8.789872622627291,5.503621359099915,3.6507249444921017,5.493726990758853,3.720787267447753,2.488049515879758,7.260162854117858,2.244756458249965,3.9363241779915215,6.949822765200104,4.353930412658593,7.925965656614711,4.051408233532902,8.524986108270456,2.853390386225146,7.725846287043517,4.861922626272732,3.6573105642457406,2.1826737084594545,4.924646917436715,4.967547494422008,2.410101240351126,9.520630762426961,3.6997984949515828,5.4538743880327845,5.179774675687336,5.60597702232641,4.194946741080548,0.6714335491924247,0.8491230367181888,4.377261432115222,5.017104720429639,2.770701199922512,9.12667624889162,9.285221218527884,2.6427266328655286,3.270659427266839,4.8761682391646755,9.424611784151846,1.5688876375804826,4.416100615834621,7.678018453257895,8.069378366936615,9.279413920906526,4.732554792154368,3.080500303328555,4.566468707090364,5.760695021595738,8.555522034790819,6.004116366633111,4.79715556319568,1.20384887753821,8.70667696277366,9.165059519483002,8.097209811534235,7.803034588327749
9,rum,7.552246045271184,3.8303457977506303,3.5364691859353767,3.153938406203133,2.034848858093301,5.561256485141946,4.850487827545859,2.9438246463879683,6.822567865903299,1.5250561135057386,1.57697555799761,6.535398860702358,5.319855657130216,5.087784937496932,6.787816205536651,5.945803156309122,8.921308007301349,7.430172925728234,6.424952720232215,5.395313578703979,9.357559340835033,3.7786544610020476,8.326434324988364,9.40478552247657,2.133100758362304,8.201157655349562,5.439621049171952,4.89813578184396,1.7422797610814542,1.9761122076430817,7.416524406176702,4.648086709899771,9.153661077712574,2.1343252244747704,4.282097598834413,4.902259304310974,5.037763139752769,6.664302602901439,3.734410554070176,1.2091159906312212,3.9071848429166747,3.561620702068561,9.768039630262015,3.527894545776338,6.7660289546739145,4.064753525272114,7.657932211186617,8.943126572929975,1.5715007711879376,6.179954448166718,8.284766409528233,3.118796493641881,8.719270788759694,7.642817014098043,0.47769930102187774,4.12669840362778,6.852649309575007,1.9682065151457162,4.235163222348523,1.9887787584889813,8.614630043103395,6.377923020464935,6.038028682419061,8.365733641438933,1.1115560154373685,5.508987403662965,1.1724527039278527,3.08734685378409,1.524385388621665,9.58010498290236,0.9782168519095636,3.3910526573170983,9.814294822624586,7.561716158871069,7.905381250652146,6.101170315054688,7.802140775628729,6.0639129998262895,8.368544281215717,4.792839376868641,8.269966648382313,9.231455885461584,9.211568586447813,9.307149386514762,9.831307651600206,3.5668288039083667,7.5970193653611835,2.1770102129586437,2.125418025075442,7.049481257509169,8.485404723856302,2.9751606123969205,9.562523985922352,4.196053793458223,8.59050643916667,4.610204940913297,9.398892471645091,6.094009603468513,6.103221708923259
